Epi_Year,Epi_Week,Region,NDVI,Data_Source,Is_Imputed
2022,23,KOTA YOGYAKARTA,0.628,modis_neo_csv,No
2022,24,KAB BANTUL,0.699,modis_neo_csv,No
2022,24,KAB GUNUNG KIDUL,0.707,modis_neo_csv,No
2022,24,KAB KULON PROGO,0.778,modis_neo_csv,No
2022,24,KAB SLEMAN,0.711,modis_neo_csv,No
2022,24,KOTA YOGYAKARTA,0.711,modis_neo_csv,No
2022,25,KAB BANTUL,0.699,modis_neo_csv,No
2022,25,KAB GUNUNG KIDUL,0.707,modis_neo_csv,No
2022,25,KAB KULON PROGO,0.778,modis_neo_csv,No
2022,25,KAB SLEMAN,0.711,modis_neo_csv,No
2022,25,KOTA YOGYAKARTA,0.711,modis_neo_csv,No
2022,26,KAB BANTUL,0.628,modis_neo_csv,No
2022,26,KAB GUNUNG KIDUL,0.691,modis_neo_csv,No
2022,26,KAB KULON PROGO,0.711,modis_neo_csv,No
2022,26,KAB SLEMAN,0.62,modis_neo_csv,No
2022,26,KOTA YOGYAKARTA,0.597,modis_neo_csv,No
2022,27,KAB BANTUL,0.628,modis_neo_csv,No
2022,27,KAB GUNUNG KIDUL,0.691,modis_neo_csv,No
2022,27,KAB KULON PROGO,0.711,modis_neo_csv,No
2022,27,KAB SLEMAN,0.62,modis_neo_csv,No
2022,27,KOTA YOGYAKARTA,0.597,modis_neo_csv,No
2022,28,KAB BANTUL,0.628,modis_neo_csv,No
2022,28,KAB GUNUNG KIDUL,0.691,modis_neo_csv,No
2022,28,KAB KULON PROGO,0.711,modis_neo_csv,No
2022,28,KAB SLEMAN,0.62,modis_neo_csv,No
2022,28,KOTA YOGYAKARTA,0.597,modis_neo_csv,No
2022,29,KAB BANTUL,0.581,modis_neo_csv,No
2022,29,KAB GUNUNG KIDUL,0.695,modis_neo_csv,No
2022,29,KAB KULON PROGO,0.707,modis_neo_csv,No
2022,29,KAB SLEMAN,0.577,modis_neo_csv,No
2022,29,KOTA YOGYAKARTA,0.573,modis_neo_csv,No
2022,30,KAB BANTUL,0.581,modis_neo_csv,No
2022,30,KAB GUNUNG KIDUL,0.695,modis_neo_csv,No
2022,30,KAB KULON PROGO,0.707,modis_neo_csv,No
2022,30,KAB SLEMAN,0.577,modis_neo_csv,No
2022,30,KOTA YOGYAKARTA,0.573,modis_neo_csv,No
2022,31,KAB BANTUL,0.613,modis_neo_csv,No
2022,31,KAB GUNUNG KIDUL,0.628,modis_neo_csv,No
2022,31,KAB KULON PROGO,0.731,modis_neo_csv,No
2022,31,KAB SLEMAN,0.542,modis_neo_csv,No
2022,31,KOTA YOGYAKARTA,0.577,modis_neo_csv,No
2022,32,KAB BANTUL,0.613,modis_neo_csv,No
2022,32,KAB GUNUNG KIDUL,0.628,modis_neo_csv,No
2022,32,KAB KULON PROGO,0.731,modis_neo_csv,No
2022,32,KAB SLEMAN,0.542,modis_neo_csv,No
2022,32,KOTA YOGYAKARTA,0.577,modis_neo_csv,No
2022,33,KAB BANTUL,0.699,modis_neo_csv,No
2022,33,KAB GUNUNG KIDUL,0.585,modis_neo_csv,No
2022,33,KAB KULON PROGO,0.723,modis_neo_csv,No
2022,33,KAB SLEMAN,0.569,modis_neo_csv,No
2022,33,KOTA YOGYAKARTA,0.62,modis_neo_csv,No
2022,34,KAB BANTUL,0.699,modis_neo_csv,No
2022,34,KAB GUNUNG KIDUL,0.585,modis_neo_csv,No
2022,34,KAB KULON PROGO,0.723,modis_neo_csv,No
2022,34,KAB SLEMAN,0.569,modis_neo_csv,No
2022,34,KOTA YOGYAKARTA,0.62,modis_neo_csv,No
2022,35,KAB BANTUL,0.707,modis_neo_csv,No
2022,35,KAB GUNUNG KIDUL,0.514,modis_neo_csv,No
2022,35,KAB KULON PROGO,0.735,modis_neo_csv,No
